M,N,K
1,7168,768
2,7168,768
4,7168,768
8,7168,768
16,7168,768
32,7168,768
48,7168,768
64,7168,768
80,7168,768
96,7168,768
112,7168,768
128,7168,768
144,7168,768
160,7168,768
176,7168,768
192,7168,768
208,7168,768
224,7168,768
240,7168,768
256,7168,768
288,7168,768
320,7168,768
352,7168,768
384,7168,768
416,7168,768
448,7168,768
480,7168,768
512,7168,768
544,7168,768
576,7168,768
608,7168,768
640,7168,768
672,7168,768
704,7168,768
736,7168,768
768,7168,768
800,7168,768
832,7168,768
864,7168,768
896,7168,768
928,7168,768
960,7168,768
992,7168,768
1024,7168,768
1088,7168,768
1152,7168,768
1216,7168,768
1280,7168,768
1344,7168,768
1408,7168,768
1472,7168,768
1536,7168,768
1600,7168,768
1664,7168,768
1728,7168,768
1792,7168,768
1856,7168,768
1920,7168,768
1984,7168,768
2048,7168,768
4096,7168,768
6144,7168,768
8192,7168,768
10240,7168,768
12288,7168,768
14336,7168,768
16768,7168,768
32768,7168,768
24576,1536,7168
30720,1536,7168
32768,1536,7168
40960,1536,7168
